timestamp,energy_kwh,department,equipment,building
2024-01-15 08:00:00,85.2,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 09:00:00,92.8,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 10:00:00,88.5,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 11:00:00,95.3,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 12:00:00,78.9,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 13:00:00,82.1,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 14:00:00,91.7,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 15:00:00,87.4,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 16:00:00,83.6,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 17:00:00,79.8,Production,Injection-Molding-Machine-A,Factory-1
2024-01-15 08:00:00,65.4,Production,CNC-Machine-B,Factory-1
2024-01-15 09:00:00,68.9,Production,CNC-Machine-B,Factory-1
2024-01-15 10:00:00,71.2,Production,CNC-Machine-B,Factory-1
2024-01-15 11:00:00,69.8,Production,CNC-Machine-B,Factory-1
2024-01-15 12:00:00,66.3,Production,CNC-Machine-B,Factory-1
2024-01-15 13:00:00,67.5,Production,CNC-Machine-B,Factory-1
2024-01-15 14:00:00,70.1,Production,CNC-Machine-B,Factory-1
2024-01-15 15:00:00,68.7,Production,CNC-Machine-B,Factory-1
2024-01-15 16:00:00,65.9,Production,CNC-Machine-B,Factory-1
2024-01-15 17:00:00,64.2,Production,CNC-Machine-B,Factory-1
2024-01-15 08:00:00,45.8,HVAC,Cooling-System,Main-Office
2024-01-15 09:00:00,48.3,HVAC,Cooling-System,Main-Office
2024-01-15 10:00:00,52.1,HVAC,Cooling-System,Main-Office
2024-01-15 11:00:00,55.7,HVAC,Cooling-System,Main-Office
2024-01-15 12:00:00,58.9,HVAC,Cooling-System,Main-Office
2024-01-15 13:00:00,61.2,HVAC,Cooling-System,Main-Office
2024-01-15 14:00:00,59.8,HVAC,Cooling-System,Main-Office
2024-01-15 15:00:00,57.4,HVAC,Cooling-System,Main-Office
2024-01-15 16:00:00,54.6,HVAC,Cooling-System,Main-Office
2024-01-15 17:00:00,51.3,HVAC,Cooling-System,Main-Office
2024-01-15 08:00:00,28.5,Lighting,LED-Panel-A,Factory-1
2024-01-15 09:00:00,29.8,Lighting,LED-Panel-A,Factory-1
2024-01-15 10:00:00,31.2,Lighting,LED-Panel-A,Factory-1
2024-01-15 11:00:00,30.7,Lighting,LED-Panel-A,Factory-1
2024-01-15 12:00:00,32.1,Lighting,LED-Panel-A,Factory-1
2024-01-15 13:00:00,33.5,Lighting,LED-Panel-A,Factory-1
2024-01-15 14:00:00,31.9,Lighting,LED-Panel-A,Factory-1
2024-01-15 15:00:00,30.4,Lighting,LED-Panel-A,Factory-1
2024-01-15 16:00:00,29.1,Lighting,LED-Panel-A,Factory-1
2024-01-15 17:00:00,27.8,Lighting,LED-Panel-A,Factory-1
2024-01-15 08:00:00,22.3,Lighting,LED-Panel-B,Main-Office
2024-01-15 09:00:00,23.7,Lighting,LED-Panel-B,Main-Office
2024-01-15 10:00:00,24.9,Lighting,LED-Panel-B,Main-Office
2024-01-15 11:00:00,25.8,Lighting,LED-Panel-B,Main-Office
2024-01-15 12:00:00,26.4,Lighting,LED-Panel-B,Main-Office
2024-01-15 13:00:00,27.1,Lighting,LED-Panel-B,Main-Office
2024-01-15 14:00:00,26.7,Lighting,LED-Panel-B,Main-Office
2024-01-15 15:00:00,25.9,Lighting,LED-Panel-B,Main-Office
2024-01-15 16:00:00,24.8,Lighting,LED-Panel-B,Main-Office
2024-01-15 17:00:00,23.5,Lighting,LED-Panel-B,Main-Office
2024-01-15 08:00:00,38.6,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 09:00:00,41.2,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 10:00:00,43.8,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 11:00:00,42.5,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 12:00:00,39.7,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 13:00:00,40.9,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 14:00:00,44.1,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 15:00:00,43.3,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 16:00:00,41.8,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-15 17:00:00,39.4,Compressed-Air,Air-Compressor-1,Factory-1
2024-01-16 08:00:00,89.7,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 09:00:00,156.3,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 10:00:00,142.8,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 11:00:00,98.5,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 12:00:00,85.2,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 13:00:00,87.9,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 14:00:00,93.4,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 15:00:00,91.1,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 16:00:00,88.7,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 17:00:00,82.3,Production,Injection-Molding-Machine-A,Factory-1
2024-01-16 08:00:00,67.8,Production,CNC-Machine-B,Factory-1
2024-01-16 09:00:00,72.4,Production,CNC-Machine-B,Factory-1
2024-01-16 10:00:00,75.1,Production,CNC-Machine-B,Factory-1
2024-01-16 11:00:00,73.6,Production,CNC-Machine-B,Factory-1
2024-01-16 12:00:00,69.2,Production,CNC-Machine-B,Factory-1
2024-01-16 13:00:00,70.8,Production,CNC-Machine-B,Factory-1
2024-01-16 14:00:00,74.3,Production,CNC-Machine-B,Factory-1
2024-01-16 15:00:00,72.9,Production,CNC-Machine-B,Factory-1
2024-01-16 16:00:00,68.5,Production,CNC-Machine-B,Factory-1
2024-01-16 17:00:00,66.1,Production,CNC-Machine-B,Factory-1
2024-01-16 08:00:00,47.2,HVAC,Cooling-System,Main-Office
2024-01-16 09:00:00,49.8,HVAC,Cooling-System,Main-Office
2024-01-16 10:00:00,53.6,HVAC,Cooling-System,Main-Office
2024-01-16 11:00:00,57.1,HVAC,Cooling-System,Main-Office
2024-01-16 12:00:00,60.4,HVAC,Cooling-System,Main-Office
2024-01-16 13:00:00,62.8,HVAC,Cooling-System,Main-Office
2024-01-16 14:00:00,61.3,HVAC,Cooling-System,Main-Office
2024-01-16 15:00:00,58.9,HVAC,Cooling-System,Main-Office
2024-01-16 16:00:00,56.2,HVAC,Cooling-System,Main-Office
2024-01-16 17:00:00,52.7,HVAC,Cooling-System,Main-Office
